Вафли шоколадные;Торт Наполеон;;;;;;
Ванильный эклер;Печенье;;;;;;
Молочный шоколад;Медовик;Вафли шоколадные;Ванильный эклер;;;;
Пряники;Чизкейк;;;;;;
Печенье;Молочный шоколад;Вафли шоколадные;;;;;
Чизкейк;Медовик;;;;;;
Вафли шоколадные;Ванильный эклер;Печенье;Молочный шоколад;Медовик;Пряники;Тирамису;Торт Наполеон
Чизкейк;Ванильный эклер;;;;;;
Торт Наполеон;Чизкейк;Печенье;;;;;
Вафли шоколадные;Тирамису;;;;;;
Чизкейк;Ванильный эклер;Пряники;;;;;
Тирамису;Чизкейк;;;;;;
Торт Наполеон;Тирамису;Печенье;Ванильный эклер;Чизкейк;Медовик;;
Чизкейк;Вафли шоколадные;;;;;;
Чизкейк;Ванильный эклер;Молочный шоколад;;;;;
Вафли шоколадные;Тирамису;;;;;;
Печенье;Ванильный эклер;Печенье;Молочный шоколад;Медовик;;;
Торт Наполеон;Чизкейк;;;;;;
Вафли шоколадные;Тирамису;Чизкейк;;;;;
Медовик;Ванильный эклер;;;;;;
